Nonterminal,FIRST,FOLLOW
E',"-,%empty,+","or,},scan,<,do,then,while,=,print,and,else,),end,;,id,>,if"
AE',"and,%empty","or,},do,then"
BE,"not,{,ic,id,(,fc","},do,then"
D,"float,int","print,scan,end,id,float,while,if,int"
BE',"or,%empty","},do,then"
TY,"float,int",id
E,"ic,id,(,fc","or,},scan,<,do,then,while,=,print,and,else,),end,;,id,>,if"
F,"ic,id,(,fc","-,or,},*,scan,<,do,then,while,+,=,print,and,else,),/,end,;,id,>,if"
DL,"float,%empty,int","print,scan,end,id,while,if"
RE+E,"=,<,>","or,},and,do,then"
VL+id,"id,%empty",;
P,prog,%eof
IS+if.BE.then.SL,"else,end","print,else,scan,end,id,while,if"
T',"*,/,%empty","-,or,},scan,<,do,then,while,+,=,print,and,else,),end,;,id,>,if"
S,"print,scan,id,while,if","print,else,scan,end,id,while,if"
T,"ic,id,(,fc","-,or,},scan,<,do,then,while,+,=,print,and,else,),end,;,id,>,if"
SL,"print,scan,id,while,if,%empty","else,end"
WS,while,"print,else,scan,end,id,while,if"
AE,"not,{,ic,id,(,fc","or,},do,then"
IS,if,"print,else,scan,end,id,while,if"
IOS,"print,scan","print,else,scan,end,id,while,if"
ES,id,"print,else,scan,end,id,while,if"
RE,"ic,id,(,fc","or,},and,do,then"
PE,"str,ic,id,(,fc","print,else,scan,end,id,while,if"
VL,id,;
NE,"not,{,ic,id,(,fc","or,},and,do,then"
